"scenario","replication","Method","Metric","pre_Q_TC","pre_B_TC","pre_Q_RE","pre_B_RE","pre_Q_LC","pre_B_LC","post_Q_TC","post_B_TC","post_Q_RE","post_B_RE","post_Q_LC","post_B_LC","max_abs_mean_delta","pre_max_spread","post_max_spread","replication_fidelity"
"ScenarioI",1,"IMDS","Int-Euclidean",0.573021089630932,-0.0401980082015231,0.560341501169126,-0.0361288121313332,0.045,-0.00133333333333333,0.573020972466315,-0.0401982425307557,0.560341686543566,-0.0361284413824528,0.045,-0.00133333333333333,3.70748880464122e-07,0,5.85823081433734e-06,4.44089209850063e-16
"ScenarioI",1,"IMDS","Hausdorff",0.607840656121851,-0.0744253075571177,0.610110500821097,-0.0946675426472515,0.0646666666666667,-0.00266666666666666,0.607840656121851,-0.0744253075571177,0.610110500821097,-0.0946675426472515,0.0646666666666667,-0.00266666666666666,0,0,0,4.44089209850063e-16
"ScenarioI",1,"IMDS","Ichino-Yaguchi",0.594813122437024,-0.0672618629173989,0.598300283718843,-0.0847153930483126,0.0613333333333333,-0.00866666666666667,0.594813122437024,-0.0672618629173989,0.598300283718843,-0.0847153930483126,0.0613333333333333,-0.00866666666666667,0,0,0,2.77555756156289e-17
"ScenarioI",1,"IMDS","Wasserstein",0.588415934387815,-0.0756367896895138,0.592325130495162,-0.091129370173644,0.0563333333333333,-0.00266666666666667,0.588415934387815,-0.0756367896895138,0.592325130495162,-0.091129370173644,0.0563333333333333,-0.00266666666666667,0,0,0,3.33066907387547e-16
"ScenarioI",2,"IMDS","Hausdorff",0.591366725248975,-0.100973637961336,0.59217088821453,-0.116562488534034,0.063,-0.000333333333333335,0.591366725248975,-0.100973637961336,0.59217088821453,-0.116562488534034,0.063,-0.000333333333333335,0,0,0,3.33066907387547e-16
"ScenarioI",3,"IMDS","Int-Euclidean",0.517517867603984,-0.0775547744581137,0.502090208499038,-0.0659576259360257,0.034,0.00133333333333333,0.517517867603984,-0.0775547744581137,0.502090208499038,-0.0659576259360257,0.034,0.00133333333333333,0,0,0,4.44089209850063e-16
"ScenarioI",3,"IMDS","Hausdorff",0.585106033977739,-0.107693028705331,0.589978127351243,-0.122642708766545,0.0553333333333333,0.00133333333333333,0.585106303456356,-0.107692489748096,0.589978275650795,-0.122642412167441,0.0553333333333333,0.00133333333333333,5.38957234924586e-07,0,1.17164616286747e-06,4.44089209850063e-16
"ScenarioI",4,"IMDS","Int-Euclidean",0.506558875219684,-0.0661862917398945,0.494767561944615,-0.0609485706057085,0.0263333333333333,-0.00333333333333333,0.506559191564148,-0.0661856590509666,0.494767711165283,-0.0609482721643736,0.0263333333333333,-0.00333333333333333,6.32688927942882e-07,0,1.17164616286747e-06,4.44089209850063e-16
"ScenarioI",4,"IMDS","Hausdorff",0.578091974223784,-0.0941101347393087,0.581642994772825,-0.124153437532959,0.0523333333333333,-0.00533333333333333,0.578091974223784,-0.0941101347393087,0.581642994772825,-0.124153437532959,0.0523333333333333,-0.00533333333333333,0,0,0,4.44089209850063e-16
"ScenarioI",5,"IMDS","Hausdorff",0.582123608670182,-0.11202460456942,0.585742583909376,-0.134250794807305,0.0476666666666667,-0.00233333333333334,0.582123608670182,-0.11202460456942,0.585742583909376,-0.134250794807305,0.0476666666666667,-0.00233333333333334,0,0,0,3.33066907387547e-16
"ScenarioI",6,"IMDS","Hausdorff",0.571011716461629,-0.0695711775043937,0.571831959259687,-0.101057260667781,0.0526666666666667,-0.00166666666666667,0.571011716461629,-0.0695711775043937,0.571831959259687,-0.101057260667781,0.0526666666666667,-0.00166666666666667,0,0,0,4.44089209850063e-16
"ScenarioI",7,"IMDS","Int-Euclidean",0.458562975981254,-0.131694200351494,0.44807208893429,-0.114825457107271,0.0286666666666667,-0.00266666666666667,0.458562975981254,-0.131694200351494,0.44807208893429,-0.114825457107271,0.0286666666666667,-0.00266666666666667,0,0,0,3.88578058618805e-16
"ScenarioI",7,"IMDS","Hausdorff",0.548504979496192,-0.0477445811364967,0.554813900181506,-0.0729262218938958,0.0413333333333333,-0.000333333333333335,0.548504979496192,-0.0477445811364967,0.554813900181506,-0.0729262218938958,0.0413333333333333,-0.000333333333333335,0,0,0,2.22044604925031e-16
"ScenarioI",7,"IMDS","Ichino-Yaguchi",0.542759226713532,-0.0346736965436438,0.548526072857451,-0.0478904357995732,0.046,-0.004,0.542759226713532,-0.0346736965436438,0.548526072857451,-0.0478904357995732,0.046,-0.004,0,0,0,4.44089209850063e-16
"ScenarioI",7,"IMDS","Wasserstein",0.53232396016403,-0.0236332747510252,0.539557694282776,-0.0378626227251716,0.0406666666666667,-0.00766666666666667,0.53232396016403,-0.0236332747510252,0.539557694282776,-0.0378626227251716,0.0406666666666667,-0.00766666666666667,0,0,0,3.33066907387547e-16
"ScenarioI",7,"IMDS","Centers-Euclidean",0.504942003514938,-0.00259871118922095,0.498378765806913,0.0119241329580709,0.0253333333333333,-0.001,0.504942003514938,-0.00259871118922095,0.498378765806913,0.0119241329580709,0.0253333333333333,-0.001,0,0,0,4.44089209850063e-16
"ScenarioI",8,"IMDS","Int-Euclidean",0.491731693028705,-0.075428236672525,0.483795621110303,-0.069237118548912,0.0316666666666667,-0.000333333333333333,0.491732009373169,-0.075427603983597,0.483795882246471,-0.0692365962765759,0.0316666666666667,-0.000333333333333333,6.32688927942882e-07,0,1.17164616286747e-06,3.33066907387547e-16
"ScenarioI",8,"IMDS","Hausdorff",0.581318101933216,-0.0944815465729351,0.58504787189375,-0.111475878371646,0.0563333333333333,-0.003,0.581318101933216,-0.0944815465729351,0.58504787189375,-0.111475878371646,0.0563333333333333,-0.003,0,0,0,3.46944695195361e-16
"ScenarioI",8,"IMDS","Centers-Euclidean",0.505140597539543,-0.00177270064440538,0.500754602927949,-0.00866981135406553,0.0273333333333333,0.000666666666666666,0.505140597539543,-0.00177270064440538,0.500754602927949,-0.00866981135406553,0.0273333333333333,0.000666666666666666,0,0,0,1.11022302462516e-16
"ScenarioI",9,"IMDS","Int-Euclidean",0.52211482132396,-0.0329607498535442,0.510754939902604,-0.0142059364955527,0.0196666666666667,-0.003,0.52211482132396,-0.0329607498535442,0.510754939902604,-0.0142059364955527,0.0196666666666667,-0.003,0,0,0,3.33066907387547e-16
"ScenarioI",9,"IMDS","Hausdorff",0.59136086701816,-0.0793919156414762,0.597201965107234,-0.111067386794554,0.055,-0.00366666666666667,0.59136086701816,-0.0793919156414762,0.597201965107234,-0.111067386794554,0.055,-0.00366666666666667,0,0,0,4.44089209850063e-16
"ScenarioI",9,"IMDS","Ichino-Yaguchi",0.581638547158758,-0.065758640890451,0.582238470439033,-0.0946066507897105,0.052,-0.00733333333333333,0.581638547158758,-0.065758640890451,0.582238470439033,-0.0946066507897105,0.052,-0.00733333333333333,0,0,0,3.33066907387547e-16
"ScenarioI",9,"IMDS","Wasserstein",0.57684827182191,-0.0652677211482133,0.580884569984263,-0.0946500245707488,0.052,-0.00566666666666667,0.57684827182191,-0.0652677211482133,0.580884569984263,-0.0946500245707488,0.052,-0.00566666666666667,0,0,0,2.22044604925031e-16
"ScenarioI",9,"IMDS","Centers-Euclidean",0.5090820152314,-0.0165213825424722,0.507052669982988,-0.0260716922406635,0.0356666666666667,-0.000333333333333335,0.5090820152314,-0.0165213825424722,0.507052669982988,-0.0260716922406635,0.0356666666666667,-0.000333333333333335,0,0,0,4.44089209850063e-16
"ScenarioI",10,"IMDS","Int-Euclidean",0.527754540128881,-0.0864428822495606,0.515420905140022,-0.0886803151380836,0.0386666666666667,-0.00133333333333334,0.527754586994728,-0.0864427885178676,0.515421868012477,-0.0886783893931739,0.0386666666666667,-0.00133333333333334,1.92574490974484e-06,0,5.50212831362806e-06,4.44089209850063e-16
"ScenarioI",10,"IMDS","Hausdorff",0.573031634446397,-0.0789279437609841,0.576230082610219,-0.103650892414816,0.053,-0.00833333333333333,0.573031634446397,-0.0789279437609841,0.576230082610219,-0.103650892414816,0.053,-0.00833333333333333,0,0,0,4.44089209850063e-16
"ScenarioI",11,"IMDS","Int-Euclidean",0.525031634446397,-0.0411517281780902,0.510738325286624,-0.0275774976461668,0.034,-0.00366666666666667,0.525031634446397,-0.0411517281780902,0.510738325286624,-0.0275774976461668,0.034,-0.00366666666666667,0,0,0,2.22044604925031e-16
"ScenarioI",11,"IMDS","Hausdorff",0.583267135325132,-0.100350322202695,0.585076457169754,-0.11691467080186,0.0523333333333333,-0.00966666666666667,0.583267135325132,-0.100350322202695,0.585076457169754,-0.11691467080186,0.0523333333333333,-0.00966666666666667,0,0,0,2.22044604925031e-16
"ScenarioI",12,"IMDS","Int-Euclidean",0.454045694200351,-0.0474540128881078,0.455285841246097,-0.0504706361513472,0.0303333333333333,-0.000333333333333333,0.454045694200351,-0.0474540128881078,0.455285841246097,-0.0504706361513472,0.0303333333333333,-0.000333333333333333,0,0,0,4.44089209850063e-16
"ScenarioI",12,"IMDS","Ichino-Yaguchi",0.553836555360281,-0.081461042765085,0.558067265360863,-0.105800591141051,0.049,0.003,0.553836555360281,-0.081461042765085,0.558067265360863,-0.105800591141051,0.049,0.003,0,0,0,4.44089209850063e-16
"ScenarioI",13,"IMDS","Int-Euclidean",0.531988869361453,-0.0605518453427065,0.515720255308579,-0.0468876744496298,0.0346666666666667,-0.000666666666666666,0.531990673696544,-0.0605482366725249,0.515724123992549,-0.046879937081689,0.0346666666666667,-0.000666666666666666,7.7373679407966e-06,0,1.54747358817042e-05,1.11022302462516e-16
"ScenarioI",13,"IMDS","Hausdorff",0.574355008787346,-0.0864815465729351,0.582718806701359,-0.121348445149814,0.0516666666666667,-0.012,0.574355008787346,-0.0864815465729351,0.582718806701359,-0.121348445149814,0.0516666666666667,-0.012,0,0,0,1.11022302462516e-16
"ScenarioI",14,"IMDS","Int-Euclidean",0.516971880492091,-0.0596824838898653,0.51002171759436,-0.0569214010838148,0.0366666666666667,-0.00266666666666667,0.516971880492091,-0.0596824838898653,0.51002171759436,-0.0569214010838148,0.0366666666666667,-0.00266666666666667,0,0,0,4.44089209850063e-16
"ScenarioI",14,"IMDS","Hausdorff",0.564016988869361,-0.0759917984768601,0.569727516459945,-0.107627612455504,0.056,-0.00733333333333333,0.564016988869361,-0.0759917984768601,0.569727516459945,-0.107627612455504,0.056,-0.00733333333333333,0,0,0,4.44089209850063e-16
